id,name,latitude,longitude,old_province_name,new_province_name,territory,postal_code,country_name,country_code,geometry
64,Lubudi,-9.95,25.97,Katanga,Lualaba,Lubudi,CD7203,République démocratique du Congo,CD,POINT (25.97 -9.95)
65,Sandoa,-9.68,22.87,Katanga,Lualaba,Sandoa,CD7206,République démocratique du Congo,CD,POINT (22.87 -9.68)
66,Dilolo,-9.22,25.12,Katanga,Haut-Lomami,Kamina,CD7302,République démocratique du Congo,CD,POINT (25.12 -9.22)
67,Kanteba,-7.33,24.62,Katanga,Haut-Lomami,Kamina,CD7302,République démocratique du Congo,CD,POINT (24.62 -7.33)
68,Kole,-8.02,25.55,Katanga,Haut-Lomami,Kamina,CD7302,République démocratique du Congo,CD,POINT (25.55 -8.02)
69,Kaniama,-7.57,24.17,Katanga,Haut-Lomami,Kaniama,CD7303,République démocratique du Congo,CD,POINT (24.17 -7.57)
70,Kabongo,-7.32,25.58,Katanga,Haut-Lomami,Kabongo,CD7304,République démocratique du Congo,CD,POINT (25.58 -7.32)
71,Malemba-Nkulu,-8.03,26.8,Katanga,Haut-Lomami,Malemba-Nkulu,CD7305,République démocratique du Congo,CD,POINT (26.8 -8.03)
72,Mulongo,-7.83,27,Katanga,Haut-Lomami,Malemba-Nkulu,CD7305,République démocratique du Congo,CD,POINT (27 -7.83)
73,Bukama,-9.21,25.84,Katanga,Haut-Lomami,Bukama,CD7306,République démocratique du Congo,CD,POINT (25.84 -9.21)
74,Kipamba,-8.2,26.42,Katanga,Haut-Lomami,Bukama,CD7306,République démocratique du Congo,CD,POINT (26.42 -8.2)
75,Kabalo,-6.05,26.91,Katanga,Tanganyika,Kabalo,CD7407,République démocratique du Congo,CD,POINT (26.91 -6.05)
76,Nyunzu,-5.95,28.02,Katanga,Tanganyika,Nyunzu,CD7410,République démocratique du Congo,CD,POINT (28.02 -5.95)
77,Balamba,-12.79,28.65,Katanga,Haut-Katanga,Sakania,CD7104,République démocratique du Congo,CD,POINT (28.65 -12.79)
78,Mokambo,-12.42,28.35,Katanga,Haut-Katanga,Sakania,CD7104,République démocratique du Congo,CD,POINT (28.35 -12.42)
79,Sakania,-12.75,28.57,Katanga,Haut-Katanga,Sakania,CD7104,République démocratique du Congo,CD,POINT (28.57 -12.75)
80,Mitwaba,-8.63,27.33,Katanga,Haut-Katanga,Mitwaba,CD7108,République démocratique du Congo,CD,POINT (27.33 -8.63)
81,Pweto,-8.47,28.9,Katanga,Haut-Katanga,Pweto,CD7109,République démocratique du Congo,CD,POINT (28.9 -8.47)
82,Kambove,-10.87,26.6,Katanga,Haut-Katanga,Kambove,CD7105,République démocratique du Congo,CD,POINT (26.6 -10.87)
83,Kapanga,-11.5,26.75,Katanga,Haut-Katanga,Kambove,CD7105,République démocratique du Congo,CD,POINT (26.75 -11.5)
84,Kasenga,-10.63,26.76,Katanga,Haut-Katanga,Kambove,CD7105,République démocratique du Congo,CD,POINT (26.76 -10.63)
85,Lwambo,-10.82,26.78,Katanga,Haut-Katanga,Kambove,CD7105,République démocratique du Congo,CD,POINT (26.78 -10.82)
86,Bakwa-Kalonji,-6.18,23.38,Kasai-Oriental,KasaÃ¯-Oriental,Miabi,CD8205,République démocratique du Congo,CD,POINT (23.38 -6.18)
87,Katanda,-6.33,23.9,Kasai-Oriental,KasaÃ¯-Oriental,Katanda,CD8209,République démocratique du Congo,CD,POINT (23.9 -6.33)
88,Lomela,-2.3,23.28,Kasai-Oriental,Sankuru,Lomela,CD8307,République démocratique du Congo,CD,POINT (23.28 -2.3)
89,Katako-Kombe,-3.4,24.42,Kasai-Oriental,Sankuru,Katako-Kombe,CD8308,République démocratique du Congo,CD,POINT (24.42 -3.4)
90,Lubefu,-4.72,24.42,Kasai-Oriental,Sankuru,Lubefu,CD8309,République démocratique du Congo,CD,POINT (24.42 -4.72)
91,Lupatapata,-4.67,24.28,Kasai-Oriental,Sankuru,Lubefu,CD8309,République démocratique du Congo,CD,POINT (24.28 -4.67)
92,Luputa,-7.17,23.7,Kasai-Oriental,Lomami,Luilu,CD8104,République démocratique du Congo,CD,POINT (23.7 -7.17)
93,Lubao,-5.39,25.75,Kasai-Oriental,Lomami,Lubao,CD8108,République démocratique du Congo,CD,POINT (25.75 -5.39)
94,Dibaya,-6.51,22.87,Kasai-Occidental,KasaÃ¯-Central,Dibaya,CD9102,République démocratique du Congo,CD,POINT (22.87 -6.51)
95,Kabeya-Kamwanga,-6.27,22.63,Kasai-Occidental,KasaÃ¯-Central,Dibaya,CD9102,République démocratique du Congo,CD,POINT (22.63 -6.27)
96,Luiza,-7.2,22.42,Kasai-Occidental,KasaÃ¯-Central,Luiza,CD9104,République démocratique du Congo,CD,POINT (22.42 -7.2)
97,Mankanza,-7.4,22.67,Kasai-Occidental,KasaÃ¯-Central,Luiza,CD9104,République démocratique du Congo,CD,POINT (22.67 -7.4)
98,Kazumba,-6.42,22.03,Kasai-Occidental,KasaÃ¯-Central,Kazumba,CD9105,République démocratique du Congo,CD,POINT (22.03 -6.42)
99,Demba,-5.51,22.26,Kasai-Occidental,KasaÃ¯-Central,Demba,CD9106,République démocratique du Congo,CD,POINT (22.26 -5.51)
100,Dimbelenge,-5.55,23.12,Kasai-Occidental,KasaÃ¯-Central,Dimbelenge,CD9107,République démocratique du Congo,CD,POINT (23.12 -5.55)
